Data,Timestamp,entrada
267.12,3460.64,10
266.84,3460.69,10
266.47,3460.75,10
266.94,3460.81,10
266.56,3460.86,10
266.75,3460.92,10
266.75,3460.97,10
266.47,3461.02,10
266.66,3461.07,10
267.03,3461.12,10
266.84,3461.18,10
266.47,3461.23,10
266.94,3461.29,10
266.94,3461.34,10
266.47,3461.4,10
266.47,3461.45,10
266.47,3461.51,10
266.94,3461.56,10
266.38,3461.62,10
266.56,3461.68,10
266.66,3461.73,10
266.75,3461.79,10
266.47,3461.84,10
266.56,3461.9,10
267.41,3461.95,10
266.75,3462.01,10
266.47,3462.06,10
266.38,3462.11,10
266.66,3462.16,10
266.66,3462.22,10
266.56,3462.27,10
266.75,3462.32,10
266.66,3462.38,10
266.75,3462.44,10
266.94,3462.49,10
266.75,3462.54,10
266.75,3462.6,10
266.84,3462.65,10
266.66,3462.71,10
266.66,3462.76,10
266.75,3462.81,10
266.75,3462.86,10
266.75,3462.92,10
266.56,3462.97,10
266.75,3463.03,10
266.01,3463.09,10
266.84,3463.14,10
266.75,3463.19,10
266.94,3463.25,10
267.78,3463.31,10
266.66,3463.36,10
263.55,3463.42,10
266.47,3463.48,10
266.47,3463.53,10
266.47,3463.59,10
271.17,3463.64,10
269.8,3463.7,10
266.66,3463.75,10
266.47,3463.81,10
266.84,3463.86,10
266.47,3463.91,10
266.47,3463.97,10
266.47,3464.02,10
266.56,3464.08,10
270.09,3464.13,10
266.66,3464.18,10
266.84,3464.24,10
266.56,3464.29,10
266.75,3464.35,10
266.75,3464.41,10
266.47,3464.46,10
266.94,3464.51,10
266.47,3464.57,10
266.56,3464.62,10
266.56,3464.67,10
266.56,3464.73,10
266.75,3464.78,10
266.84,3464.83,10
267.03,3464.89,10
266.38,3464.95,10
266.66,3465.0,10
266.66,3465.05,10
266.47,3465.11,10
266.94,3465.16,10
267.03,3465.22,10
266.75,3465.27,10
266.47,3465.32,10
266.47,3465.38,10
266.47,3465.47,10
266.56,3465.53,10
266.66,3465.58,10
264.81,3465.64,10
266.66,3465.7,10
266.84,3465.76,10
265.27,3465.81,10
260.73,3465.87,10
266.47,3465.92,10
266.47,3465.98,10
266.94,3466.04,10
266.56,3466.09,10
266.56,3466.15,10
266.56,3466.21,10
266.75,3466.26,10
266.75,3466.32,10
266.94,3466.37,10
266.47,3466.42,10
266.47,3466.47,10
266.56,3466.53,10
266.56,3466.58,10
267.12,3466.64,10
266.66,3466.69,10
267.03,3466.74,10
266.75,3466.8,10
266.47,3466.86,10
266.38,3466.91,10
266.56,3466.96,10
266.47,3467.02,10
266.66,3467.08,10
266.94,3467.13,10
266.47,3467.19,10
266.56,3467.25,10
266.47,3467.3,10
266.84,3467.36,10
266.94,3467.41,10
266.75,3467.46,10
266.94,3467.52,10
266.75,3467.57,10
266.38,3467.63,10
266.94,3467.69,10
266.94,3467.75,10
266.56,3467.8,10
266.66,3467.85,10
266.47,3467.91,10
266.84,3467.96,10
266.94,3468.01,10
267.03,3468.07,10
266.75,3468.12,10
266.47,3468.18,10
266.66,3468.23,10
266.56,3468.29,10
266.47,3468.34,10
266.94,3468.4,10
266.66,3468.45,10
266.94,3468.51,10
266.84,3468.56,10
266.66,3468.62,10
266.38,3468.67,10
266.94,3468.73,10
266.75,3468.78,10
266.75,3468.84,10
267.31,3468.89,10
266.47,3468.95,10
266.66,3469.0,10
266.66,3469.06,10
266.47,3469.11,10
267.31,3469.17,10
266.1,3469.22,10
266.47,3469.27,10
267.41,3469.32,10
265.64,3469.38,10
271.27,3469.44,10
264.54,3469.5,10
266.66,3469.55,10
266.66,3469.6,10
266.94,3469.66,10
266.94,3469.71,10
266.47,3469.76,10
266.47,3469.81,10
266.47,3469.87,10
266.66,3469.92,10
266.84,3469.98,10
266.66,3470.03,10
266.84,3470.09,10
266.66,3470.14,10
266.47,3470.2,10
267.31,3470.25,10
266.38,3470.31,10
266.75,3470.36,10
266.75,3470.42,10
266.56,3470.47,10
266.84,3470.53,10
266.94,3470.59,10
266.56,3470.64,10
266.56,3470.7,10
266.66,3470.75,10
266.56,3470.81,10
266.66,3470.86,10
266.75,3470.92,10
266.84,3470.97,10
267.69,3471.03,10
267.5,3471.08,10
265.18,3471.13,10
266.84,3471.19,10
260.47,3471.25,10
274.81,3471.31,10
266.47,3471.36,10
266.47,3471.41,10
266.19,3471.47,10
266.56,3471.52,10
266.94,3471.58,10
266.66,3471.64,10
266.19,3471.69,10
266.56,3471.75,10
267.03,3471.8,10
266.66,3471.85,10
266.56,3471.9,10
266.75,3471.96,10
266.47,3472.01,10
266.75,3472.07,10
266.66,3472.12,10
266.94,3472.17,10
266.47,3472.23,10
267.41,3472.28,10
266.75,3472.34,10
266.47,3472.39,10
266.47,3472.44,10
266.94,3472.5,10
266.38,3472.56,10
266.56,3472.62,10
266.47,3472.67,10
266.94,3472.72,10
267.31,3472.77,10
266.75,3472.83,10
266.01,3472.88,10
261.17,3472.94,10
269.99,3472.99,10
269.99,3473.05,10
266.66,3473.1,10
266.75,3473.16,10
266.56,3473.21,10
266.47,3473.26,10
266.47,3473.31,10
266.66,3473.37,10
266.56,3473.42,10
266.66,3473.48,10
266.47,3473.54,10
266.66,3473.59,10
266.84,3473.65,10
266.66,3473.7,10
266.47,3473.76,10
266.47,3473.81,10
266.66,3473.87,10
266.56,3473.92,10
266.75,3473.98,10
266.47,3474.04,10
266.47,3474.1,10
266.66,3474.15,10
266.47,3474.2,10
266.56,3474.26,10
266.66,3474.31,10
266.66,3474.36,10
266.56,3474.42,10
266.75,3474.47,10
266.47,3474.53,10
266.56,3474.59,10
266.47,3474.64,10
266.56,3474.7,10
266.66,3474.75,10
265.36,3474.8,10
263.37,3474.85,10
266.75,3474.91,10
266.75,3474.96,10
266.47,3475.01,10
266.56,3475.06,10
266.75,3475.11,10
266.38,3475.17,10
266.94,3475.22,10
266.56,3475.28,10
266.56,3475.33,10
266.47,3475.39,10
266.38,3475.49,10
266.38,3475.55,10
266.94,3475.61,10
266.47,3475.66,10
266.47,3475.72,10
266.94,3475.77,10
266.56,3475.82,10
266.94,3475.87,10
266.47,3475.93,10
266.47,3475.99,10
266.56,3476.04,10
266.47,3476.1,10
266.47,3476.15,10
266.84,3476.2,10
266.84,3476.26,10
266.56,3476.31,10
268.83,3476.37,10
266.56,3476.42,10
266.56,3476.48,10
266.56,3476.53,10
270.97,3476.59,10
266.56,3476.64,10
266.56,3476.7,10
266.38,3476.75,10
266.75,3476.8,10
266.47,3476.86,10
266.66,3476.92,10
266.56,3476.97,10
266.47,3477.02,10
266.47,3477.08,10
266.38,3477.14,10
266.75,3477.2,10
266.47,3477.25,10
266.66,3477.31,10
266.47,3477.36,10
266.47,3477.41,10
266.66,3477.47,10
266.47,3477.52,10
266.56,3477.57,10
266.47,3477.63,10
266.47,3477.69,10
266.47,3477.74,10
267.03,3477.79,10
266.47,3477.84,10
266.47,3477.89,10
266.47,3477.95,10
266.47,3478.0,10
266.38,3478.06,10
266.56,3478.11,10
265.45,3478.17,10
266.66,3478.22,10
266.66,3478.28,10
266.01,3478.34,10
267.97,3478.4,10
264.63,3478.45,10
266.75,3478.51,10
266.56,3478.56,10
266.47,3478.62,10
266.56,3478.68,10
266.47,3478.74,10
266.75,3478.79,10
266.84,3478.84,10
266.19,3478.9,10
266.01,3478.95,10
266.47,3479.01,10
266.56,3479.07,10
266.75,3479.13,10
266.47,3479.18,10
266.47,3479.23,10
266.66,3479.28,10
266.75,3479.34,10
266.56,3479.4,10
266.75,3479.45,10
266.47,3479.51,10
266.47,3479.56,10
267.12,3479.62,10
266.47,3479.67,10
266.47,3479.72,10
266.66,3479.77,10
266.94,3479.83,10
266.47,3479.89,10
267.5,3479.94,10
268.07,3480.0,10
267.03,3480.06,10
266.75,3480.11,10
266.56,3480.16,10
267.31,3480.22,10
265.45,3480.28,10
266.47,3480.34,10
266.1,3480.39,10
266.47,3480.45,10
266.1,3480.5,10
266.28,3480.56,10
266.47,3480.62,10
266.47,3480.68,10
266.47,3480.73,10
266.47,3480.79,10
266.66,3480.84,10
266.38,3480.9,10
266.56,3480.95,10
266.56,3481.01,10
266.56,3481.06,10
266.47,3481.12,10
266.47,3481.17,10
266.94,3481.23,10
266.75,3481.29,10
266.47,3481.34,10
266.56,3481.4,10
267.22,3481.46,10
266.47,3481.52,10
266.56,3481.58,10
266.75,3481.63,10
266.47,3481.69,10
266.47,3481.74,10
266.47,3481.8,10
267.22,3481.85,10
267.5,3481.9,10
266.94,3481.96,10
267.41,3482.01,10
266.75,3482.06,10
266.47,3482.11,10
266.56,3482.16,10
266.47,3482.22,10
266.56,3482.27,10
266.47,3482.33,10
266.56,3482.38,10
266.47,3482.44,10
266.47,3482.49,10
266.47,3482.54,10
266.47,3482.6,10
266.47,3482.65,10
266.47,3482.71,10
266.56,3482.76,10
266.38,3482.82,10
266.47,3482.87,10
266.47,3482.93,10
266.47,3482.99,10
266.56,3483.04,10
266.47,3483.09,10
266.56,3483.14,10
266.66,3483.2,10
266.66,3483.25,10
266.66,3483.3,10
266.01,3483.35,10
266.47,3483.4,10
266.66,3483.46,10
266.38,3483.52,10
266.19,3483.57,10
265.18,3483.63,10
266.47,3483.68,10
266.47,3483.74,10
266.56,3483.8,10
265.82,3483.85,10
266.66,3483.91,10
266.75,3483.96,10
266.94,3484.02,10
266.94,3484.07,10
266.47,3484.12,10
266.56,3484.17,10
266.56,3484.23,10
266.56,3484.28,10
267.12,3484.34,10
266.66,3484.4,10
266.66,3484.46,10
266.75,3484.51,10
266.75,3484.56,10
266.47,3484.62,10
266.75,3484.68,10
266.94,3484.73,10
266.75,3484.79,10
266.75,3484.85,10
266.38,3484.9,10
266.94,3484.96,10
266.75,3485.02,10
266.75,3485.07,10
266.38,3485.13,10
266.94,3485.19,10
266.47,3485.24,10
267.03,3485.3,10
268.83,3485.35,10
266.47,3485.41,10
266.56,3485.46,10
269.7,3485.52,10
269.99,3485.57,10
266.94,3485.62,10
266.47,3485.67,10
266.47,3485.72,10
266.94,3485.78,10
266.47,3485.83,10
266.75,3485.89,10
266.47,3485.94,10
266.47,3486.0,10
266.94,3486.05,10
266.47,3486.1,10
266.56,3486.16,10
267.41,3486.21,10
267.03,3486.27,10
267.12,3486.33,10
266.47,3486.39,10
266.47,3486.44,10
266.47,3486.5,10
266.19,3486.55,10
266.47,3486.61,10
266.47,3486.66,10
266.84,3486.71,10
266.47,3486.77,10
266.56,3486.82,10
266.47,3486.88,10
266.47,3486.94,10
266.75,3486.99,10
266.56,3487.04,10
266.56,3487.1,10
266.47,3487.16,10
266.38,3487.21,10
267.03,3487.26,10
266.94,3487.32,10
266.75,3487.37,10
268.16,3487.42,10
267.03,3487.47,10
267.03,3487.53,10
266.94,3487.59,10
266.56,3487.64,10
266.94,3487.7,10
266.66,3487.76,10
266.66,3487.81,10
266.75,3487.86,10
266.94,3487.91,10
266.94,3487.97,10
266.75,3488.02,10
266.75,3488.08,10
266.47,3488.13,10
266.38,3488.19,10
266.66,3488.25,10
266.47,3488.3,10
266.94,3488.36,10
266.84,3488.41,10
266.47,3488.46,10
266.94,3488.52,10
267.12,3488.57,10
266.47,3488.63,10
266.28,3488.68,10
266.75,3488.73,10
266.28,3488.79,10
266.56,3488.85,10
266.38,3488.91,10
266.47,3488.96,10
266.56,3489.02,10
266.47,3489.07,10
266.47,3489.12,10
266.47,3489.17,10
266.84,3489.23,10
266.47,3489.29,10
266.84,3489.35,10
266.28,3489.4,10
266.66,3489.45,10
266.84,3489.51,10
